horizon,mse,rmse,mae,mape,mdape,smape,coverage
35 days,657184.8218171336,810.6693665219709,665.4626481431577,0.05722311105763611,0.052761602656069224,0.05578516851374722,0.85
42 days,541665.8703175271,735.9795311810833,578.6332466520619,0.05072375066025131,0.032774322751807305,0.049037955185300214,0.9
49 days,892314.0464476267,944.6237592013165,741.5849979385341,0.06040276678695158,0.049123853365858804,0.05887622399804353,0.75
56 days,805490.1530468045,897.4910322932506,718.4715941094917,0.05201512896131455,0.04771512557803701,0.05201486546623033,0.75
63 days,915495.0870800987,956.8150746513658,771.969170045666,0.05538920796834421,0.04771512557803701,0.054942378904769405,0.7
70 days,875215.612207002,935.529589167014,722.0977846124799,0.05253654522271339,0.04560970836674223,0.05200249371281599,0.7
77 days,956150.7337155892,977.8296036199707,787.6267412266363,0.05838277513338781,0.04560970836674223,0.058027156322777884,0.65
84 days,610278.7446973654,781.2033952162301,629.1700844218095,0.05006880574448488,0.04113771835149176,0.04923834906407183,0.8
91 days,1230856.8606885653,1109.4398860184203,822.7209887479903,0.06217565084081036,0.04707380530853966,0.06203409682062374,0.8
98 days,1514879.6815446424,1230.8044855071996,956.3916588376906,0.06748215040938746,0.06960119254389169,0.06830145546630773,0.8
105 days,1578003.6115120552,1256.1861372870085,1010.140917178401,0.07036518615367116,0.06960119254389169,0.07108607314819257,0.8
112 days,1540607.0976181498,1241.2119470977348,972.6236737559345,0.0665549774263097,0.06960119254389169,0.06734688721995094,0.85
119 days,1724947.0838046696,1313.3724086505965,1021.6368659531469,0.07501564088359666,0.0675129300294642,0.07437585884101652,0.8
126 days,1365656.638863455,1168.6131262584101,971.4554110493085,0.07654014150443948,0.07238049736633978,0.0745357643662059,0.7
133 days,1463389.641164141,1209.7064276774515,982.8731365519468,0.08078900451374212,0.07578333431921848,0.07865486519754358,0.65
140 days,1735514.4492129267,1317.3892550089083,1077.680989260368,0.08810170004911479,0.08432446176956815,0.08619208170550044,0.6
147 days,2064201.7737426125,1436.7330210385687,1226.1801659456312,0.10187080320804527,0.08914706965772168,0.09940980068604727,0.55
154 days,1928659.9980204976,1388.7620379390048,1205.841774875235,0.09983114014113544,0.1039996077905046,0.09816642269475229,0.6
161 days,1979887.0017418838,1407.0845751915142,1213.7061812180789,0.10128210722709882,0.10024112114035184,0.09925904094338434,0.65
168 days,1832832.5778375529,1353.8214719221855,1142.6378004786443,0.09456833429646032,0.10024112114035184,0.09275807283639462,0.75
175 days,1759143.1609881415,1326.326943475153,1112.3544519769493,0.09532519096623082,0.10424597590316582,0.09241161959646019,0.75
182 days,2145257.0179187665,1464.6695934301247,1237.3317633760232,0.11931178094593117,0.10424597590316582,0.1106986943750021,0.65
189 days,2387941.902509168,1545.2967037139397,1279.2488898918505,0.11328569515590033,0.10024112114035184,0.10622289169214497,0.55
196 days,2210439.646890724,1486.754736629658,1196.6193998342274,0.10337367312560022,0.08285901365761171,0.09724626008306858,0.6
203 days,2114344.5970132677,1454.0786075770689,1188.0783591697777,0.10947634717308048,0.08285901365761171,0.10126081282101926,0.6
210 days,2040479.6897329069,1428.4536008330501,1186.95601867966,0.10718227955059052,0.06810601757679144,0.09953990236294592,0.55
217 days,1277612.0477732753,1130.315021475551,883.8244119843469,0.06718862585357784,0.04865608146021224,0.0656711319201744,0.7
224 days,1051764.1580458041,1025.5555363049843,855.1183164773753,0.06719950129996674,0.0516502361234677,0.06511931799018097,0.75
231 days,1171704.6108999497,1082.4530525154196,904.9289839005394,0.07021961098247573,0.05657436216583317,0.06788295735255706,0.7
238 days,1438329.4495842902,1199.3037353332516,983.4535032900125,0.06631478211938119,0.061231289288679054,0.06634014220709643,0.65
245 days,1457810.7618252053,1207.398344302826,958.8295237586517,0.06454481300758544,0.061231289288679054,0.06427413827403713,0.7
252 days,1452680.7746189642,1205.27207493535,949.7973865025746,0.06433927606891209,0.061231289288679054,0.06402536607343759,0.7
259 days,1449073.5893197216,1203.7747253201994,946.0409691806628,0.06686358110756033,0.06785480701750157,0.06670640194397175,0.7
266 days,1265845.8267088886,1125.0981409232213,868.6625556651621,0.063056122236114,0.061374610371291244,0.06275300947987188,0.75
273 days,1191903.4317506407,1091.7432993843565,816.7937838018347,0.05982548320579395,0.051988865646467104,0.05970022210143687,0.8
280 days,1279165.536458044,1131.0020055057569,874.8708427042981,0.06043066591040637,0.056512264082548135,0.061309099188713176,0.75
287 days,1324647.2495160555,1150.9332081037785,918.1905651446571,0.06208328153496674,0.056512264082548135,0.06293604281688674,0.75
294 days,1246960.903131825,1116.6740362038624,833.3344658163657,0.05496121478675077,0.04877686309034864,0.05595775240110625,0.75
301 days,1062975.5008713782,1031.0070324063645,716.5384613190342,0.0456361928938554,0.03704619269379858,0.04709377474279177,0.8
308 days,930589.7922346957,964.6708206609629,728.4391361803348,0.05282722235477515,0.040744024874919654,0.052305943648336385,0.75
315 days,1034303.619308829,1017.0071874420696,773.7252483609968,0.05871228660289608,0.04388971607885756,0.05807660214785857,0.75
322 days,1286401.4595512957,1134.1963937305106,860.1617320075227,0.0642130378959146,0.06739560959633953,0.06382141845096358,0.7
329 days,1461134.3550730944,1208.7739056883609,981.7365975525411,0.07396801203523752,0.0725198777236821,0.07316092348021316,0.7
336 days,1514786.395935731,1230.7665887306703,1019.2011930660508,0.07976823413050468,0.07767282379572821,0.07846988436254729,0.7
343 days,1467004.1214593563,1211.1994556881853,1018.0345515397145,0.08035810121292841,0.08287205723644624,0.07919410114147499,0.65
350 days,1369924.5182601816,1170.4377464266015,972.7542380286716,0.07723497106349128,0.08287205723644624,0.07599530823620747,0.7
357 days,1462847.51025067,1209.4823315165336,983.3319538526969,0.08256278078443495,0.08287205723644624,0.07991852855991713,0.7
364 days,4398162.253940698,2097.179595061114,1384.802143134038,0.24695963797783277,0.08541627204582371,0.14459457112261656,0.65
