ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-05,9348.349705999999,10463.706857304218,13412.52097505163,9348.349705999999,9348.349705999999,2554.583717169109,2554.583717169109,2554.583717169109,2554.583717169109,2554.583717169109,2554.583717169109,0.0,0.0,0.0,11902.933423169108
2020-01-12,9367.857437560975,11336.192918531073,14195.320705717386,9367.857437560975,9367.857437560975,3443.377172537312,3443.377172537312,3443.377172537312,3443.377172537312,3443.377172537312,3443.377172537312,0.0,0.0,0.0,12811.234610098287
2020-01-19,9387.365169121951,12472.47968193001,15232.240436514927,9387.365169121951,9387.365169121951,4421.683407557185,4421.683407557185,4421.683407557185,4421.683407557185,4421.683407557185,4421.683407557185,0.0,0.0,0.0,13809.048576679135
2020-01-26,9406.872900682927,12925.180121144942,15816.695654063406,9406.872900682927,9406.872900682927,4942.259252974828,4942.259252974828,4942.259252974828,4942.259252974828,4942.259252974828,4942.259252974828,0.0,0.0,0.0,14349.132153657756
2020-02-02,9426.380632243903,13066.692181374621,15941.606736027685,9426.380632243903,9426.380632243903,5019.837425260734,5019.837425260734,5019.837425260734,5019.837425260734,5019.837425260734,5019.837425260734,0.0,0.0,0.0,14446.218057504637
2020-02-09,9445.888363804877,13042.638539810905,15844.000648554074,9445.888363804877,9445.888363804877,5009.893726169963,5009.893726169963,5009.893726169963,5009.893726169963,5009.893726169963,5009.893726169963,0.0,0.0,0.0,14455.78208997484
2020-02-16,9465.396095365853,13032.864885712528,15855.460137827877,9465.396095365853,9465.396095365853,4973.380291818301,4973.380291818301,4973.380291818301,4973.380291818301,4973.380291818301,4973.380291818301,0.0,0.0,0.0,14438.776387184154
2020-02-23,9484.90382692683,12496.598886113776,15317.399524402806,9484.90382692683,9484.90382692683,4460.581062161489,4460.581062161489,4460.581062161489,4460.581062161489,4460.581062161489,4460.581062161489,0.0,0.0,0.0,13945.484889088319
2020-03-01,9504.411558487804,11107.421293096171,13970.669119042297,9504.411558487804,9504.411558487804,3038.8583320775633,3038.8583320775633,3038.8583320775633,3038.8583320775633,3038.8583320775633,3038.8583320775633,0.0,0.0,0.0,12543.269890565367
2020-03-08,9523.91929004878,9047.496864809727,11905.26518748151,9523.91929004878,9523.91929004878,956.5875270476436,956.5875270476436,956.5875270476436,956.5875270476436,956.5875270476436,956.5875270476436,0.0,0.0,0.0,10480.506817096422
2020-03-15,9543.427021528923,7299.833620395091,10082.913329135608,9543.427021528923,9543.427021528923,-881.3450994021576,-881.3450994021576,-881.3450994021576,-881.3450994021576,-881.3450994021576,-881.3450994021576,0.0,0.0,0.0,8662.081922126767
2020-03-22,9562.934753009065,6443.649552228195,9367.854300181236,9562.934753009065,9562.934753009065,-1673.2787203066996,-1673.2787203066996,-1673.2787203066996,-1673.2787203066996,-1673.2787203066996,-1673.2787203066996,0.0,0.0,0.0,7889.656032702365
2020-03-29,9582.442484489207,6732.980509695889,9495.093242231926,9582.442484489207,9582.442484489207,-1415.38830292231,-1415.38830292231,-1415.38830292231,-1415.38830292231,-1415.38830292231,-1415.38830292231,0.0,0.0,0.0,8167.054181566898
